roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade,percentage,pass_fail
std-1464,male,group D,bachelor's degree,1.0,1.0,93.0,46.0,51.0,57.0,247.0,D,61.75000000000001,Pass
std-1465,male,group D,some college,1.0,0.0,99.0,92.0,92.0,83.0,366.0,A,91.5,Pass
std-1466,male,group D,master's degree,1.0,0.0,37.0,100.0,71.0,52.0,260.0,C,65.0,Pass
std-1467,male,group E,some college,0.0,1.0,94.0,17.0,39.0,53.0,203.0,D,50.74999999999999,Pass
std-1468,male,group E,high school,1.0,1.0,53.0,96.0,91.0,54.0,294.0,C,73.5,Pass
std-1469,male,group D,associate's degree,1.0,0.0,23.0,70.0,89.0,97.0,279.0,C,69.75,Pass
std-1470,male,group E,some high school,1.0,0.0,56.0,70.0,81.0,84.0,291.0,C,72.75,Pass
std-1471,male,group D,bachelor's degree,1.0,1.0,40.0,69.0,84.0,61.0,254.0,C,63.5,Pass
std-1472,male,group E,some college,1.0,0.0,45.0,66.0,92.0,53.0,256.0,C,64.0,Pass
std-1473,male,group A,some college,1.0,0.0,52.0,90.0,69.0,96.0,307.0,B,76.75,Pass
std-1474,male,group C,master's degree,0.0,0.0,100.0,90.0,68.0,77.0,335.0,B,83.75,Pass
std-1475,male,group D,some high school,1.0,0.0,73.0,88.0,68.0,91.0,320.0,B,80.0,Pass
std-1476,male,group E,associate's degree,1.0,0.0,44.0,93.0,73.0,27.0,237.0,D,59.25,Pass
std-1477,male,group C,high school,1.0,1.0,29.0,79.0,100.0,89.0,297.0,C,74.25,Pass
std-1478,male,group C,some college,1.0,1.0,79.0,36.0,96.0,96.0,307.0,B,76.75,Pass
std-1480,male,group B,associate's degree,1.0,0.0,77.0,80.0,43.0,90.0,290.0,C,72.5,Pass
std-1481,male,group A,some college,0.0,0.0,62.0,96.0,80.0,99.0,337.0,B,84.25,Pass
std-1482,male,group C,high school,0.0,1.0,21.0,63.0,88.0,89.0,261.0,C,65.25,Pass
std-1483,male,group A,some high school,1.0,0.0,51.0,63.0,99.0,66.0,279.0,C,69.75,Pass
std-1484,male,group C,high school,1.0,1.0,100.0,87.0,57.0,92.0,336.0,B,84.0,Pass
std-1485,male,group B,associate's degree,1.0,0.0,59.0,72.0,87.0,42.0,260.0,C,65.0,Pass
std-1486,male,group C,some college,0.0,0.0,78.0,82.0,38.0,86.0,284.0,C,71.0,Pass
std-1487,male,group B,some college,1.0,1.0,25.0,77.0,23.0,72.0,197.0,D,49.25,Pass
std-1488,male,group B,some high school,1.0,0.0,58.0,80.0,82.0,74.0,294.0,C,73.5,Pass
std-1489,male,group A,some high school,0.0,0.0,88.0,76.0,99.0,29.0,292.0,C,73.0,Pass
std-1490,male,group C,some college,0.0,0.0,51.0,55.0,56.0,58.0,220.0,D,55.00000000000001,Pass
std-1491,male,group D,associate's degree,1.0,0.0,26.0,61.0,53.0,42.0,182.0,D,45.5,Pass
std-1492,male,group C,some college,1.0,1.0,41.0,97.0,61.0,56.0,255.0,C,63.74999999999999,Pass
std-1493,male,group A,bachelor's degree,1.0,0.0,37.0,78.0,55.0,51.0,221.0,D,55.25,Pass
std-1494,male,group D,high school,1.0,0.0,56.0,86.0,32.0,66.0,240.0,D,60.0,Pass
std-1495,male,group C,bachelor's degree,1.0,1.0,86.0,73.0,55.0,75.0,289.0,C,72.25,Pass
std-1496,male,group C,bachelor's degree,0.0,0.0,64.0,51.0,27.0,48.0,190.0,D,47.5,Pass
std-1497,male,group A,bachelor's degree,0.0,0.0,61.0,88.0,50.0,85.0,284.0,C,71.0,Pass
std-1498,male,group B,some college,1.0,1.0,59.0,85.0,83.0,51.0,278.0,C,69.5,Pass
std-1499,male,group C,some high school,1.0,0.0,11.0,100.0,58.0,51.0,220.0,D,55.00000000000001,Pass
std-1500,male,group A,high school,0.0,0.0,41.0,55.0,68.0,47.0,211.0,D,52.75,Pass
std-1501,male,group B,associate's degree,1.0,0.0,46.0,60.0,77.0,91.0,274.0,C,68.5,Pass
std-1502,male,group B,associate's degree,1.0,0.0,17.0,78.0,61.0,39.0,195.0,D,48.75,Pass
std-1503,male,group A,some college,0.0,1.0,28.0,100.0,88.0,55.0,271.0,C,67.75,Pass
std-1504,male,group B,associate's degree,0.0,0.0,32.0,77.0,70.0,82.0,261.0,C,65.25,Pass
std-1505,male,group E,some high school,0.0,1.0,64.0,65.0,31.0,86.0,246.0,D,61.5,Pass
std-1506,male,group B,high school,1.0,0.0,10.0,28.0,69.0,76.0,183.0,D,45.75,Pass
std-1507,male,group E,some high school,0.0,0.0,44.0,100.0,28.0,60.0,232.0,D,57.99999999999999,Pass
std-1509,male,group A,some high school,1.0,0.0,38.0,92.0,53.0,49.0,232.0,D,57.99999999999999,Pass
std-1510,male,group C,some college,1.0,0.0,14.0,77.0,95.0,70.0,256.0,C,64.0,Pass
std-1511,male,group D,high school,0.0,0.0,83.0,47.0,72.0,81.0,283.0,C,70.75,Pass
std-1513,male,group A,some college,0.0,0.0,59.0,100.0,59.0,45.0,263.0,C,65.75,Pass
std-1514,male,group C,high school,1.0,1.0,49.0,100.0,59.0,70.0,278.0,C,69.5,Pass
std-1515,male,group E,high school,0.0,1.0,80.0,95.0,89.0,35.0,299.0,C,74.75,Pass
std-1516,male,group B,high school,0.0,0.0,100.0,68.0,82.0,62.0,312.0,B,78.0,Pass
std-1517,male,group B,master's degree,1.0,1.0,80.0,51.0,69.0,47.0,247.0,D,61.75000000000001,Pass
std-1518,male,group C,bachelor's degree,1.0,1.0,39.0,52.0,43.0,56.0,190.0,D,47.5,Pass
std-1519,male,group A,associate's degree,1.0,0.0,56.0,62.0,79.0,73.0,270.0,C,67.5,Pass
std-1520,male,group A,high school,1.0,0.0,75.0,75.0,89.0,62.0,301.0,B,75.25,Pass
std-1521,male,group E,some college,1.0,1.0,100.0,99.0,37.0,58.0,294.0,C,73.5,Pass
std-1522,male,group C,bachelor's degree,1.0,1.0,58.0,69.0,64.0,62.0,253.0,C,63.24999999999999,Pass
std-1523,male,group D,some college,1.0,0.0,39.0,17.0,55.0,83.0,194.0,D,48.5,Pass
std-1524,male,group B,master's degree,1.0,0.0,42.0,90.0,65.0,81.0,278.0,C,69.5,Pass
std-1525,male,group D,high school,0.0,0.0,78.0,71.0,63.0,87.0,299.0,C,74.75,Pass
std-1526,male,group B,associate's degree,1.0,0.0,90.0,58.0,60.0,58.0,266.0,C,66.5,Pass
std-1527,male,group D,associate's degree,1.0,0.0,48.0,59.0,64.0,34.0,205.0,D,51.24999999999999,Pass
std-1528,male,group C,bachelor's degree,0.0,0.0,25.0,67.0,54.0,58.0,204.0,D,51.0,Pass
std-1529,male,group D,some high school,1.0,0.0,76.0,95.0,75.0,61.0,307.0,B,76.75,Pass
std-1530,male,group B,associate's degree,0.0,0.0,32.0,100.0,77.0,100.0,309.0,B,77.25,Pass
std-1531,male,group D,bachelor's degree,1.0,0.0,18.0,55.0,70.0,51.0,194.0,D,48.5,Pass
std-1532,male,group C,high school,0.0,0.0,45.0,59.0,68.0,60.0,232.0,D,57.99999999999999,Pass
std-1533,male,group D,associate's degree,1.0,0.0,68.0,90.0,65.0,85.0,308.0,B,77.0,Pass
std-1534,male,group D,some college,0.0,1.0,69.0,84.0,25.0,72.0,250.0,C,62.5,Pass
std-1535,male,group B,bachelor's degree,1.0,0.0,15.0,74.0,59.0,30.0,178.0,D,44.5,Pass
std-1536,male,group B,associate's degree,1.0,1.0,39.0,77.0,63.0,59.0,238.0,D,59.5,Pass
std-1537,male,group E,bachelor's degree,1.0,0.0,57.0,62.0,92.0,68.0,279.0,C,69.75,Pass
std-1538,male,group D,master's degree,1.0,1.0,65.0,53.0,64.0,43.0,225.0,D,56.25,Pass
std-1539,male,group D,some high school,1.0,1.0,44.0,18.0,51.0,41.0,154.0,D,38.5,Fail
std-1540,male,group D,high school,1.0,1.0,38.0,79.0,94.0,100.0,311.0,B,77.75,Pass
std-1541,male,group C,master's degree,0.0,0.0,83.0,66.0,90.0,48.0,287.0,C,71.75,Pass
std-1542,male,group C,high school,0.0,0.0,63.0,53.0,70.0,88.0,274.0,C,68.5,Pass
std-1543,male,group D,high school,1.0,0.0,52.0,100.0,85.0,98.0,335.0,B,83.75,Pass
std-1544,male,group E,some college,1.0,1.0,37.0,74.0,67.0,63.0,241.0,D,60.25,Pass
std-1545,male,group D,high school,0.0,0.0,47.0,58.0,49.0,59.0,213.0,D,53.25,Pass
std-1546,male,group D,high school,0.0,0.0,15.0,57.0,65.0,44.0,181.0,D,45.25,Pass
std-1547,male,group C,bachelor's degree,1.0,0.0,65.0,18.0,56.0,80.0,219.0,D,54.75,Pass
std-1548,male,group C,bachelor's degree,0.0,1.0,69.0,61.0,33.0,51.0,214.0,D,53.5,Pass
std-1549,male,group D,some college,0.0,1.0,65.0,71.0,84.0,88.0,308.0,B,77.0,Pass
std-1550,male,group D,high school,1.0,0.0,58.0,83.0,88.0,65.0,294.0,C,73.5,Pass
std-1551,male,group A,some college,0.0,1.0,24.0,63.0,50.0,92.0,229.0,D,57.25,Pass
std-1552,male,group C,some high school,1.0,0.0,73.0,88.0,95.0,100.0,356.0,A,89.0,Pass
std-1553,male,group C,bachelor's degree,1.0,0.0,58.0,89.0,39.0,54.0,240.0,D,60.0,Pass
std-1554,male,group A,some college,0.0,0.0,55.0,100.0,59.0,44.0,258.0,C,64.5,Pass
std-1555,male,group E,some college,0.0,1.0,42.0,94.0,85.0,72.0,293.0,C,73.25,Pass
std-1556,male,group C,some college,1.0,1.0,95.0,83.0,68.0,89.0,335.0,B,83.75,Pass
std-1557,male,group D,some college,1.0,0.0,38.0,61.0,57.0,50.0,206.0,D,51.5,Pass
std-1558,male,group C,some college,1.0,0.0,54.0,68.0,33.0,91.0,246.0,D,61.5,Pass
std-1559,male,group D,bachelor's degree,0.0,1.0,54.0,100.0,62.0,76.0,292.0,C,73.0,Pass
std-1560,male,group C,some high school,0.0,1.0,75.0,84.0,96.0,82.0,337.0,B,84.25,Pass
std-1561,male,group E,high school,1.0,1.0,59.0,83.0,89.0,71.0,302.0,B,75.5,Pass
std-1562,male,group D,bachelor's degree,1.0,0.0,67.0,60.0,38.0,73.0,238.0,D,59.5,Pass
std-1563,male,group B,associate's degree,1.0,0.0,60.0,65.0,50.0,93.0,268.0,C,67.0,Pass
std-1564,male,group D,some college,0.0,0.0,31.0,66.0,66.0,65.0,228.0,D,56.99999999999999,Pass
std-1565,male,group E,master's degree,1.0,0.0,60.0,49.0,73.0,63.0,245.0,D,61.25000000000001,Pass
std-1566,male,group C,some college,1.0,1.0,71.0,85.0,54.0,48.0,258.0,C,64.5,Pass
std-1567,male,group E,high school,1.0,0.0,38.0,95.0,52.0,55.0,240.0,D,60.0,Pass
std-1568,male,group C,associate's degree,1.0,0.0,65.0,66.0,64.0,100.0,295.0,C,73.75,Pass
std-1569,male,group D,master's degree,1.0,0.0,65.0,65.0,68.0,77.0,275.0,C,68.75,Pass
std-1570,male,group D,master's degree,1.0,1.0,18.0,97.0,64.0,58.0,237.0,D,59.25,Pass
std-1571,male,group C,some high school,0.0,0.0,60.0,68.0,84.0,43.0,255.0,C,63.74999999999999,Pass
std-1572,male,group E,some high school,0.0,0.0,44.0,82.0,77.0,89.0,292.0,C,73.0,Pass
std-1573,male,group C,associate's degree,1.0,1.0,27.0,96.0,89.0,45.0,257.0,C,64.25,Pass
std-1574,male,group B,master's degree,1.0,1.0,25.0,43.0,58.0,34.0,160.0,D,40.0,Pass
std-1575,male,group D,some high school,1.0,0.0,30.0,57.0,71.0,81.0,239.0,D,59.75,Pass
std-1576,male,group E,high school,1.0,0.0,47.0,60.0,67.0,78.0,252.0,C,63.0,Pass
std-1577,male,group D,associate's degree,1.0,1.0,62.0,81.0,95.0,60.0,298.0,C,74.5,Pass
std-1578,male,group B,some college,0.0,0.0,53.0,72.0,73.0,84.0,282.0,C,70.5,Pass
std-1579,male,group B,high school,0.0,0.0,65.0,100.0,61.0,79.0,305.0,B,76.25,Pass
std-1580,male,group C,associate's degree,0.0,1.0,42.0,100.0,49.0,41.0,232.0,D,57.99999999999999,Pass
std-1581,male,group B,bachelor's degree,1.0,0.0,76.0,43.0,94.0,55.0,268.0,C,67.0,Pass
std-1582,male,group D,some college,0.0,0.0,27.0,61.0,24.0,100.0,212.0,D,53.0,Pass
std-1583,male,group B,bachelor's degree,1.0,0.0,41.0,63.0,39.0,38.0,181.0,D,45.25,Pass
std-1584,male,group E,master's degree,1.0,0.0,25.0,98.0,50.0,41.0,214.0,D,53.5,Pass
std-1585,male,group C,master's degree,0.0,0.0,26.0,71.0,56.0,29.0,182.0,D,45.5,Pass
std-1586,male,group E,some high school,1.0,0.0,97.0,83.0,66.0,100.0,346.0,B,86.5,Pass
std-1587,male,group E,some high school,0.0,1.0,63.0,80.0,52.0,72.0,267.0,C,66.75,Pass
std-1588,male,group D,some college,1.0,0.0,70.0,60.0,83.0,30.0,243.0,D,60.75000000000001,Pass
std-1589,male,group B,master's degree,1.0,0.0,35.0,75.0,63.0,69.0,242.0,D,60.5,Pass
std-1590,male,group D,some high school,0.0,1.0,48.0,64.0,61.0,53.0,226.0,D,56.49999999999999,Pass
std-1591,male,group D,master's degree,1.0,0.0,10.0,100.0,73.0,41.0,224.0,D,56.00000000000001,Pass
std-1592,male,group D,some college,0.0,1.0,27.0,88.0,94.0,48.0,257.0,C,64.25,Pass
std-1593,male,group E,high school,0.0,0.0,85.0,66.0,45.0,49.0,245.0,D,61.25000000000001,Pass
std-1594,male,group B,high school,1.0,0.0,87.0,47.0,34.0,38.0,206.0,D,51.5,Pass
std-1595,male,group C,associate's degree,1.0,0.0,52.0,74.0,43.0,53.0,222.0,D,55.50000000000001,Pass
std-1596,male,group C,some college,1.0,0.0,55.0,79.0,60.0,59.0,253.0,C,63.24999999999999,Pass
std-1597,male,group C,associate's degree,1.0,1.0,22.0,45.0,57.0,62.0,186.0,D,46.5,Pass
std-1598,male,group C,associate's degree,1.0,0.0,88.0,61.0,53.0,61.0,263.0,C,65.75,Pass
std-1599,male,group D,high school,0.0,0.0,31.0,62.0,54.0,36.0,183.0,D,45.75,Pass
std-1600,male,group B,bachelor's degree,1.0,0.0,63.0,74.0,66.0,85.0,288.0,C,72.0,Pass
std-1601,male,group D,bachelor's degree,1.0,1.0,42.0,65.0,71.0,100.0,278.0,C,69.5,Pass
std-1602,male,group D,high school,0.0,0.0,45.0,100.0,88.0,87.0,320.0,B,80.0,Pass
std-1603,male,group C,some high school,1.0,0.0,69.0,58.0,30.0,84.0,241.0,D,60.25,Pass
std-1604,male,group C,associate's degree,0.0,0.0,16.0,77.0,90.0,47.0,230.0,D,57.49999999999999,Pass
std-1605,male,group E,master's degree,1.0,1.0,32.0,88.0,79.0,75.0,274.0,C,68.5,Pass
std-1606,male,group E,some college,0.0,1.0,91.0,95.0,69.0,39.0,294.0,C,73.5,Pass
std-1607,male,group E,associate's degree,1.0,0.0,40.0,53.0,59.0,66.0,218.0,D,54.50000000000001,Pass
std-1608,male,group C,high school,1.0,1.0,51.0,87.0,80.0,57.0,275.0,C,68.75,Pass
std-1609,male,group C,associate's degree,1.0,1.0,31.0,100.0,48.0,62.0,241.0,D,60.25,Pass
std-1610,male,group E,some college,1.0,0.0,22.0,17.0,63.0,70.0,172.0,D,43.0,Pass
std-1611,male,group B,associate's degree,1.0,0.0,78.0,78.0,54.0,86.0,296.0,C,74.0,Pass
std-1612,male,group D,some high school,0.0,0.0,36.0,29.0,62.0,14.0,141.0,D,35.25,Fail
std-1613,male,group A,associate's degree,1.0,1.0,84.0,70.0,49.0,80.0,283.0,C,70.75,Pass
std-1614,male,group C,associate's degree,1.0,1.0,91.0,100.0,58.0,24.0,273.0,C,68.25,Pass
std-1615,male,group E,associate's degree,0.0,0.0,35.0,62.0,62.0,18.0,177.0,D,44.25,Pass
std-1616,male,group E,some high school,0.0,0.0,48.0,77.0,58.0,50.0,233.0,D,58.25,Pass
std-1617,male,group B,bachelor's degree,1.0,0.0,54.0,61.0,74.0,71.0,260.0,C,65.0,Pass
std-1618,male,group D,associate's degree,0.0,0.0,23.0,72.0,84.0,100.0,279.0,C,69.75,Pass
std-1619,male,group E,bachelor's degree,0.0,0.0,23.0,66.0,85.0,55.0,229.0,D,57.25,Pass
std-1620,male,group B,some college,0.0,0.0,100.0,58.0,38.0,78.0,274.0,C,68.5,Pass
std-1621,male,group C,associate's degree,1.0,1.0,68.0,95.0,69.0,30.0,262.0,C,65.5,Pass
std-1622,male,group A,some college,0.0,0.0,68.0,74.0,32.0,68.0,242.0,D,60.5,Pass
std-1623,male,group D,associate's degree,1.0,0.0,45.0,79.0,81.0,31.0,236.0,D,59.0,Pass
std-1624,male,group B,bachelor's degree,1.0,0.0,78.0,32.0,60.0,53.0,223.0,D,55.75,Pass
std-1625,male,group B,bachelor's degree,1.0,1.0,43.0,65.0,27.0,91.0,226.0,D,56.49999999999999,Pass
std-1626,male,group E,bachelor's degree,1.0,1.0,58.0,26.0,52.0,90.0,226.0,D,56.49999999999999,Pass
std-1627,male,group B,associate's degree,0.0,0.0,85.0,75.0,78.0,72.0,310.0,B,77.5,Pass
std-1629,male,group C,high school,1.0,0.0,59.0,88.0,64.0,61.0,272.0,C,68.0,Pass
std-1630,male,group B,high school,1.0,0.0,93.0,44.0,100.0,65.0,302.0,B,75.5,Pass
std-1631,male,group B,associate's degree,1.0,0.0,84.0,51.0,81.0,43.0,259.0,C,64.75,Pass
std-1632,male,group D,high school,1.0,0.0,72.0,59.0,76.0,34.0,241.0,D,60.25,Pass
std-1633,male,group D,high school,1.0,1.0,39.0,73.0,49.0,99.0,260.0,C,65.0,Pass
std-1634,male,group A,some college,1.0,1.0,86.0,60.0,80.0,76.0,302.0,B,75.5,Pass
std-1635,male,group C,high school,0.0,0.0,67.0,63.0,72.0,42.0,244.0,D,61.0,Pass
std-1636,male,group B,bachelor's degree,0.0,1.0,53.0,69.0,71.0,65.0,258.0,C,64.5,Pass
std-1637,male,group E,some college,1.0,1.0,26.0,58.0,55.0,100.0,239.0,D,59.75,Pass
std-1638,male,group B,high school,1.0,0.0,33.0,57.0,33.0,74.0,197.0,D,49.25,Pass
std-1639,male,group E,some college,0.0,0.0,18.0,100.0,75.0,51.0,244.0,D,61.0,Pass
std-1640,male,group A,high school,1.0,0.0,35.0,79.0,98.0,100.0,312.0,B,78.0,Pass
std-1641,male,group C,bachelor's degree,1.0,0.0,78.0,81.0,78.0,59.0,296.0,C,74.0,Pass
std-1642,male,group A,some college,1.0,0.0,38.0,73.0,32.0,73.0,216.0,D,54.0,Pass
std-1643,male,group B,high school,0.0,1.0,72.0,100.0,65.0,77.0,314.0,B,78.5,Pass
std-1644,male,group D,some college,0.0,1.0,43.0,82.0,72.0,64.0,261.0,C,65.25,Pass
std-1645,male,group C,bachelor's degree,0.0,1.0,73.0,58.0,64.0,33.0,228.0,D,56.99999999999999,Pass
std-1646,male,group B,some college,1.0,1.0,82.0,97.0,46.0,63.0,288.0,C,72.0,Pass
std-1647,male,group D,some college,1.0,1.0,60.0,71.0,60.0,87.0,278.0,C,69.5,Pass
std-1648,male,group E,high school,0.0,0.0,29.0,90.0,58.0,93.0,270.0,C,67.5,Pass
std-1649,male,group C,bachelor's degree,0.0,0.0,20.0,86.0,100.0,88.0,294.0,C,73.5,Pass
std-1650,male,group C,bachelor's degree,1.0,0.0,67.0,65.0,88.0,55.0,275.0,C,68.75,Pass
std-1651,male,group D,bachelor's degree,1.0,0.0,34.0,54.0,41.0,65.0,194.0,D,48.5,Pass
std-1652,male,group E,some high school,1.0,0.0,27.0,81.0,45.0,21.0,174.0,D,43.5,Pass
std-1653,male,group E,some college,0.0,0.0,19.0,18.0,62.0,78.0,177.0,D,44.25,Pass
std-1654,male,group D,bachelor's degree,1.0,1.0,29.0,97.0,54.0,59.0,239.0,D,59.75,Pass
std-1655,male,group B,some college,1.0,0.0,100.0,81.0,82.0,83.0,346.0,B,86.5,Pass
std-1656,male,group E,associate's degree,0.0,0.0,62.0,94.0,91.0,58.0,305.0,B,76.25,Pass
std-1657,male,group E,some college,0.0,1.0,31.0,66.0,81.0,46.0,224.0,D,56.00000000000001,Pass
std-1658,male,group C,master's degree,1.0,0.0,37.0,74.0,64.0,29.0,204.0,D,51.0,Pass
std-1659,male,group D,some college,0.0,1.0,47.0,37.0,63.0,88.0,235.0,D,58.75,Pass
std-1660,male,group B,bachelor's degree,0.0,1.0,47.0,85.0,54.0,57.0,243.0,D,60.75000000000001,Pass
std-1661,male,group D,bachelor's degree,1.0,0.0,55.0,94.0,87.0,38.0,274.0,C,68.5,Pass
std-1662,male,group C,some college,1.0,1.0,100.0,72.0,82.0,60.0,314.0,B,78.5,Pass
std-1663,male,group B,bachelor's degree,1.0,0.0,12.0,65.0,63.0,50.0,190.0,D,47.5,Pass
std-1664,male,group B,associate's degree,0.0,0.0,55.0,100.0,41.0,70.0,266.0,C,66.5,Pass
std-1665,male,group D,bachelor's degree,0.0,0.0,74.0,19.0,54.0,57.0,204.0,D,51.0,Pass
std-1666,male,group C,associate's degree,1.0,0.0,63.0,89.0,65.0,54.0,271.0,C,67.75,Pass
std-1667,male,group C,associate's degree,0.0,0.0,53.0,89.0,100.0,51.0,293.0,C,73.25,Pass
std-1668,male,group C,some high school,1.0,0.0,86.0,49.0,50.0,54.0,239.0,D,59.75,Pass
std-1669,male,group C,bachelor's degree,0.0,0.0,33.0,43.0,70.0,9.0,155.0,D,38.75,Fail
std-1670,male,group B,some college,1.0,0.0,23.0,79.0,30.0,97.0,229.0,D,57.25,Pass
std-1671,male,group B,master's degree,0.0,0.0,97.0,100.0,57.0,39.0,293.0,C,73.25,Pass
std-1672,male,group D,master's degree,0.0,0.0,27.0,23.0,86.0,73.0,209.0,D,52.25,Pass
std-1673,male,group B,associate's degree,1.0,0.0,22.0,87.0,55.0,72.0,236.0,D,59.0,Pass
std-1674,male,group B,associate's degree,1.0,0.0,37.0,93.0,45.0,40.0,215.0,D,53.75,Pass
std-1675,male,group B,high school,0.0,0.0,45.0,56.0,88.0,74.0,263.0,C,65.75,Pass
std-1676,male,group C,some college,1.0,1.0,85.0,78.0,90.0,62.0,315.0,B,78.75,Pass
std-1677,male,group C,high school,1.0,1.0,54.0,89.0,40.0,87.0,270.0,C,67.5,Pass
std-1678,male,group C,associate's degree,1.0,1.0,36.0,69.0,100.0,49.0,254.0,C,63.5,Pass
std-1679,male,group C,high school,0.0,0.0,25.0,83.0,65.0,25.0,198.0,D,49.5,Pass
std-1680,male,group D,some college,1.0,1.0,42.0,43.0,83.0,41.0,209.0,D,52.25,Pass
std-1681,male,group D,bachelor's degree,1.0,0.0,65.0,100.0,100.0,81.0,346.0,B,86.5,Pass
std-1682,male,group C,some college,1.0,0.0,25.0,76.0,100.0,87.0,288.0,C,72.0,Pass
std-1683,male,group C,high school,1.0,0.0,82.0,87.0,83.0,34.0,286.0,C,71.5,Pass
std-1684,male,group B,master's degree,1.0,0.0,72.0,17.0,69.0,66.0,224.0,D,56.00000000000001,Pass
std-1685,male,group D,associate's degree,0.0,0.0,39.0,67.0,75.0,84.0,265.0,C,66.25,Pass
std-1686,male,group C,associate's degree,1.0,0.0,58.0,83.0,76.0,83.0,300.0,B,75.0,Pass
std-1687,male,group B,some high school,0.0,1.0,25.0,43.0,63.0,9.0,140.0,D,35.0,Fail
std-1688,male,group B,associate's degree,0.0,0.0,89.0,55.0,74.0,60.0,278.0,C,69.5,Pass
std-1689,male,group C,some college,1.0,1.0,95.0,60.0,89.0,92.0,336.0,B,84.0,Pass
std-1690,male,group C,associate's degree,1.0,0.0,64.0,51.0,63.0,63.0,241.0,D,60.25,Pass
std-1691,male,group D,some high school,0.0,1.0,18.0,39.0,86.0,74.0,217.0,D,54.25,Pass
std-1692,male,group D,some high school,0.0,1.0,57.0,78.0,73.0,100.0,308.0,B,77.0,Pass
std-1693,male,group D,high school,0.0,0.0,33.0,87.0,88.0,73.0,281.0,C,70.25,Pass
std-1694,male,group A,some college,0.0,0.0,41.0,90.0,46.0,37.0,214.0,D,53.5,Pass
std-1695,male,group E,bachelor's degree,1.0,0.0,16.0,42.0,30.0,90.0,178.0,D,44.5,Pass
std-1696,male,group C,bachelor's degree,0.0,1.0,65.0,71.0,28.0,54.0,218.0,D,54.50000000000001,Pass
std-1697,male,group D,high school,1.0,0.0,36.0,62.0,69.0,65.0,232.0,D,57.99999999999999,Pass
std-1698,male,group B,associate's degree,0.0,0.0,29.0,86.0,100.0,58.0,273.0,C,68.25,Pass
std-1699,male,group D,master's degree,1.0,1.0,29.0,68.0,79.0,83.0,259.0,C,64.75,Pass
std-1700,male,group E,bachelor's degree,1.0,0.0,73.0,80.0,63.0,63.0,279.0,C,69.75,Pass
std-1701,male,group B,some high school,0.0,0.0,48.0,60.0,63.0,79.0,250.0,C,62.5,Pass
std-1702,male,group E,master's degree,0.0,0.0,42.0,69.0,77.0,62.0,250.0,C,62.5,Pass
std-1703,male,group B,bachelor's degree,1.0,1.0,81.0,93.0,98.0,71.0,343.0,B,85.75,Pass
std-1704,male,group B,some college,1.0,0.0,83.0,70.0,53.0,69.0,275.0,C,68.75,Pass
std-1705,male,group B,some college,1.0,0.0,79.0,57.0,48.0,57.0,241.0,D,60.25,Pass
std-1706,male,group C,some college,1.0,0.0,80.0,79.0,73.0,60.0,292.0,C,73.0,Pass
std-1707,male,group B,some high school,0.0,0.0,38.0,71.0,92.0,71.0,272.0,C,68.0,Pass
std-1708,male,group D,associate's degree,1.0,1.0,34.0,96.0,66.0,48.0,244.0,D,61.0,Pass
std-1709,male,group E,some college,1.0,0.0,66.0,70.0,65.0,81.0,282.0,C,70.5,Pass
std-1710,male,group C,bachelor's degree,1.0,1.0,63.0,59.0,67.0,50.0,239.0,D,59.75,Pass
std-1711,male,group C,master's degree,1.0,1.0,38.0,90.0,76.0,53.0,257.0,C,64.25,Pass
std-1712,male,group C,some college,1.0,0.0,64.0,100.0,94.0,61.0,319.0,B,79.75,Pass
std-1713,male,group B,some college,1.0,1.0,35.0,90.0,53.0,39.0,217.0,D,54.25,Pass
std-1714,male,group C,some college,1.0,1.0,53.0,78.0,47.0,57.0,235.0,D,58.75,Pass
std-1715,male,group D,high school,1.0,1.0,60.0,17.0,78.0,74.0,229.0,D,57.25,Pass
std-1716,male,group C,high school,1.0,0.0,10.0,82.0,70.0,78.0,240.0,D,60.0,Pass
std-1717,male,group A,bachelor's degree,1.0,0.0,60.0,59.0,55.0,63.0,237.0,D,59.25,Pass
std-1718,male,group D,high school,0.0,1.0,11.0,100.0,50.0,67.0,228.0,D,56.99999999999999,Pass
std-1719,male,group C,high school,1.0,0.0,60.0,78.0,57.0,71.0,266.0,C,66.5,Pass
std-1720,male,group A,some high school,1.0,1.0,83.0,77.0,71.0,84.0,315.0,B,78.75,Pass
std-1721,male,group C,some high school,0.0,0.0,21.0,95.0,84.0,93.0,293.0,C,73.25,Pass
std-1722,male,group A,some college,1.0,1.0,37.0,76.0,77.0,100.0,290.0,C,72.5,Pass
std-1723,male,group C,associate's degree,1.0,1.0,86.0,78.0,49.0,88.0,301.0,B,75.25,Pass
std-1724,male,group D,some college,1.0,0.0,27.0,100.0,75.0,24.0,226.0,D,56.49999999999999,Pass
std-1725,male,group C,some high school,0.0,0.0,56.0,87.0,85.0,79.0,307.0,B,76.75,Pass
std-1726,male,group C,master's degree,1.0,0.0,14.0,99.0,100.0,52.0,265.0,C,66.25,Pass
std-1727,male,group A,high school,0.0,0.0,39.0,82.0,50.0,45.0,216.0,D,54.0,Pass
std-1728,male,group E,bachelor's degree,1.0,1.0,58.0,74.0,74.0,47.0,253.0,C,63.24999999999999,Pass
